time,open,high,low,close,volume
2025-06-15T21:00:00.000000000Z,1.35651,1.35672,1.35466,1.35514,259
2025-06-15T21:30:00.000000000Z,1.3551,1.35589,1.3548,1.35485,372
2025-06-15T22:00:00.000000000Z,1.35518,1.35518,1.35403,1.35492,6037
2025-06-15T22:30:00.000000000Z,1.35491,1.35615,1.35486,1.35561,3320
2025-06-15T23:00:00.000000000Z,1.35567,1.3558,1.35415,1.35491,4549
2025-06-15T23:30:00.000000000Z,1.35491,1.35557,1.35478,1.3549,3294
2025-06-16T00:00:00.000000000Z,1.3549,1.35559,1.35438,1.35518,5294
2025-06-16T00:30:00.000000000Z,1.35518,1.3554,1.35446,1.355,4323
2025-06-16T01:00:00.000000000Z,1.35498,1.35578,1.35452,1.35534,5025
2025-06-16T01:30:00.000000000Z,1.35534,1.35586,1.35464,1.35475,5092
2025-06-16T02:00:00.000000000Z,1.35476,1.35535,1.35429,1.35486,4289
2025-06-16T02:30:00.000000000Z,1.35485,1.35496,1.35422,1.35432,3131
2025-06-16T03:00:00.000000000Z,1.3543,1.35478,1.35351,1.35412,4131
2025-06-16T03:30:00.000000000Z,1.35412,1.35431,1.35348,1.35362,3862
2025-06-16T04:00:00.000000000Z,1.35364,1.3547,1.3536,1.35444,3898
2025-06-16T04:30:00.000000000Z,1.35445,1.35482,1.35444,1.35474,3112
2025-06-16T05:00:00.000000000Z,1.35474,1.35714,1.35474,1.35682,4862
2025-06-16T05:30:00.000000000Z,1.35684,1.35748,1.35679,1.35712,4929
2025-06-16T06:00:00.000000000Z,1.35714,1.3576,1.35582,1.35622,6091
2025-06-16T06:30:00.000000000Z,1.3562,1.35907,1.35592,1.3586,7501
2025-06-16T07:00:00.000000000Z,1.3586,1.35919,1.3578,1.35883,7818
2025-06-16T07:30:00.000000000Z,1.35884,1.35928,1.35815,1.35846,5890
2025-06-16T08:00:00.000000000Z,1.35846,1.35867,1.35776,1.35858,4864
2025-06-16T08:30:00.000000000Z,1.35856,1.35894,1.3577,1.35796,5064
2025-06-16T09:00:00.000000000Z,1.35796,1.35853,1.3578,1.35847,4492
2025-06-16T09:30:00.000000000Z,1.35848,1.35912,1.35778,1.35858,4203
2025-06-16T10:00:00.000000000Z,1.35858,1.3588,1.35776,1.35804,3706
2025-06-16T10:30:00.000000000Z,1.35803,1.35883,1.35758,1.35808,3962
2025-06-16T11:00:00.000000000Z,1.35808,1.35912,1.35788,1.35846,3529
2025-06-16T11:30:00.000000000Z,1.35846,1.3586,1.35766,1.35778,3641
2025-06-16T12:00:00.000000000Z,1.35778,1.35838,1.35741,1.35757,4881
2025-06-16T12:30:00.000000000Z,1.3576,1.35843,1.35743,1.35826,5682
2025-06-16T13:00:00.000000000Z,1.35826,1.3605,1.35825,1.36026,6760
2025-06-16T13:30:00.000000000Z,1.36026,1.3615,1.35963,1.36116,9193
2025-06-16T14:00:00.000000000Z,1.36118,1.36226,1.3606,1.36131,8178
2025-06-16T14:30:00.000000000Z,1.36129,1.36196,1.35948,1.35962,9647
2025-06-16T15:00:00.000000000Z,1.35963,1.35997,1.35908,1.35972,6307
2025-06-16T15:30:00.000000000Z,1.35973,1.36,1.35892,1.35974,5758
2025-06-16T16:00:00.000000000Z,1.35976,1.36088,1.35958,1.36048,3770
2025-06-16T16:30:00.000000000Z,1.36051,1.36086,1.3604,1.36085,2918
2025-06-16T17:00:00.000000000Z,1.36086,1.36111,1.3592,1.35972,2957
2025-06-16T17:30:00.000000000Z,1.3597,1.36006,1.35924,1.35964,2616
2025-06-16T18:00:00.000000000Z,1.35964,1.35994,1.3594,1.3597,2974
2025-06-16T18:30:00.000000000Z,1.35969,1.36002,1.35955,1.35964,3142
2025-06-16T19:00:00.000000000Z,1.35965,1.35967,1.35844,1.35876,3007
2025-06-16T19:30:00.000000000Z,1.35877,1.35892,1.35738,1.35744,3062
2025-06-16T20:00:00.000000000Z,1.35744,1.35835,1.35728,1.35809,2177
2025-06-16T20:30:00.000000000Z,1.35808,1.35817,1.35758,1.35768,1361
2025-06-16T21:00:00.000000000Z,1.35749,1.3578,1.35743,1.35776,48
2025-06-16T21:30:00.000000000Z,1.35776,1.35803,1.35756,1.35793,1296
2025-06-16T22:00:00.000000000Z,1.35788,1.35798,1.35746,1.35754,3618
2025-06-16T22:30:00.000000000Z,1.35754,1.3577,1.35686,1.3574,2282
2025-06-16T23:00:00.000000000Z,1.35739,1.358,1.35739,1.35748,1886
2025-06-16T23:30:00.000000000Z,1.35747,1.35747,1.35634,1.35682,2924
2025-06-17T00:00:00.000000000Z,1.35682,1.35686,1.35583,1.35618,5899
2025-06-17T00:30:00.000000000Z,1.35619,1.35682,1.3558,1.3567,4008
2025-06-17T01:00:00.000000000Z,1.3567,1.35747,1.35662,1.35702,3759
2025-06-17T01:30:00.000000000Z,1.35702,1.35756,1.3568,1.35684,3489
2025-06-17T02:00:00.000000000Z,1.35685,1.35688,1.3561,1.35646,3098
2025-06-17T02:30:00.000000000Z,1.35646,1.35718,1.35589,1.35702,4415
2025-06-17T03:00:00.000000000Z,1.35702,1.35732,1.3567,1.3573,3668
2025-06-17T03:30:00.000000000Z,1.35731,1.35766,1.35698,1.35743,4264
2025-06-17T04:00:00.000000000Z,1.35742,1.35796,1.35736,1.35774,2947
2025-06-17T04:30:00.000000000Z,1.35774,1.35786,1.35715,1.35734,3211
2025-06-17T05:00:00.000000000Z,1.35733,1.35789,1.35704,1.35774,3335
2025-06-17T05:30:00.000000000Z,1.35774,1.35774,1.35654,1.3569,3324
2025-06-17T06:00:00.000000000Z,1.35689,1.35777,1.35612,1.35732,4092
2025-06-17T06:30:00.000000000Z,1.35734,1.3577,1.35603,1.35626,5345
2025-06-17T07:00:00.000000000Z,1.35626,1.3566,1.3557,1.35609,6699
2025-06-17T07:30:00.000000000Z,1.35608,1.3574,1.35537,1.35654,5128
2025-06-17T08:00:00.000000000Z,1.35654,1.3567,1.35606,1.35634,4774
2025-06-17T08:30:00.000000000Z,1.35634,1.35657,1.3548,1.35482,4649
2025-06-17T09:00:00.000000000Z,1.35483,1.35588,1.3547,1.35494,5498
2025-06-17T09:30:00.000000000Z,1.35495,1.35539,1.35416,1.35442,4215
2025-06-17T10:00:00.000000000Z,1.35442,1.35582,1.35432,1.3555,3679
2025-06-17T10:30:00.000000000Z,1.35548,1.35634,1.3554,1.35586,3850
2025-06-17T11:00:00.000000000Z,1.35584,1.35716,1.35569,1.35633,3272
2025-06-17T11:30:00.000000000Z,1.35634,1.35676,1.3556,1.35618,4115
2025-06-17T12:00:00.000000000Z,1.35618,1.35738,1.35596,1.35608,4896
2025-06-17T12:30:00.000000000Z,1.35609,1.35706,1.3547,1.35478,9450
2025-06-17T13:00:00.000000000Z,1.35479,1.3565,1.35456,1.3558,5939
2025-06-17T13:30:00.000000000Z,1.35578,1.35586,1.35434,1.35439,6923
2025-06-17T14:00:00.000000000Z,1.3544,1.35454,1.35173,1.35198,7715
2025-06-17T14:30:00.000000000Z,1.35198,1.352,1.34956,1.35122,9472
2025-06-17T15:00:00.000000000Z,1.35123,1.3519,1.34977,1.34988,7357
2025-06-17T15:30:00.000000000Z,1.34984,1.35144,1.34984,1.35141,5710
2025-06-17T16:00:00.000000000Z,1.3514,1.35169,1.34953,1.34962,4954
2025-06-17T16:30:00.000000000Z,1.34962,1.34988,1.34664,1.34718,5536
2025-06-17T17:00:00.000000000Z,1.34719,1.34746,1.3459,1.3468,7249
2025-06-17T17:30:00.000000000Z,1.3468,1.34742,1.3434,1.34452,8378
2025-06-17T18:00:00.000000000Z,1.34451,1.3448,1.34324,1.34324,6161
2025-06-17T18:30:00.000000000Z,1.34325,1.34424,1.34277,1.34282,5540
2025-06-17T19:00:00.000000000Z,1.34283,1.34316,1.3423,1.34304,4107
2025-06-17T19:30:00.000000000Z,1.34304,1.34374,1.34241,1.34262,4671
2025-06-17T20:00:00.000000000Z,1.34264,1.34296,1.34154,1.34271,2752
2025-06-17T20:30:00.000000000Z,1.3427,1.34322,1.34224,1.3429,3381
2025-06-17T21:00:00.000000000Z,1.34278,1.3433,1.34249,1.34305,245
2025-06-17T21:30:00.000000000Z,1.34306,1.34372,1.34248,1.343,1065
2025-06-17T22:00:00.000000000Z,1.3429,1.34336,1.34214,1.34324,1393
2025-06-17T22:30:00.000000000Z,1.34324,1.34333,1.34234,1.34238,1592
2025-06-17T23:00:00.000000000Z,1.3424,1.34294,1.34232,1.34274,1665
2025-06-17T23:30:00.000000000Z,1.34276,1.34318,1.34241,1.3429,2012
2025-06-18T00:00:00.000000000Z,1.34288,1.34376,1.3428,1.3435,6209
2025-06-18T00:30:00.000000000Z,1.3435,1.34386,1.3429,1.34316,5648
2025-06-18T01:00:00.000000000Z,1.34316,1.34376,1.34269,1.34368,4605
2025-06-18T01:30:00.000000000Z,1.34368,1.34402,1.34306,1.3438,3519
2025-06-18T02:00:00.000000000Z,1.3438,1.34394,1.34306,1.34366,3804
2025-06-18T02:30:00.000000000Z,1.34363,1.34383,1.34302,1.34362,3730
2025-06-18T03:00:00.000000000Z,1.34361,1.34426,1.34344,1.34383,2982
2025-06-18T03:30:00.000000000Z,1.34384,1.34468,1.34367,1.34384,2753
2025-06-18T04:00:00.000000000Z,1.34386,1.34414,1.34358,1.344,2333
2025-06-18T04:30:00.000000000Z,1.344,1.34475,1.34398,1.3444,2811
2025-06-18T05:00:00.000000000Z,1.34441,1.34464,1.34382,1.34401,2168
2025-06-18T05:30:00.000000000Z,1.344,1.34494,1.34386,1.34458,3536
2025-06-18T06:00:00.000000000Z,1.34454,1.34656,1.3441,1.3464,6769
2025-06-18T06:30:00.000000000Z,1.3464,1.34668,1.34562,1.34632,4988
2025-06-18T07:00:00.000000000Z,1.3463,1.34766,1.34598,1.34618,6197
2025-06-18T07:30:00.000000000Z,1.34618,1.34648,1.34542,1.34589,4580
2025-06-18T08:00:00.000000000Z,1.34588,1.34664,1.34487,1.34522,4754
2025-06-18T08:30:00.000000000Z,1.34522,1.34589,1.34491,1.3453,4865
2025-06-18T09:00:00.000000000Z,1.34531,1.34682,1.34497,1.34662,4210
2025-06-18T09:30:00.000000000Z,1.34662,1.34682,1.34578,1.34641,3558
2025-06-18T10:00:00.000000000Z,1.3464,1.34688,1.34597,1.34599,3693
2025-06-18T10:30:00.000000000Z,1.34598,1.34598,1.34396,1.34413,4443
